#flight_id, longitude(deg), latitude(deg), altitude (1000 feets), time (secs)
61,-91.436093,38.371246,26.000023,42060.000000
61,-91.500950,38.484587,26.000025,42120.000000
61,-91.567245,38.597467,26.000023,42180.000000
61,-91.633635,38.710352,26.000023,42240.000000
61,-91.700120,38.823243,26.000023,42300.000000
61,-91.766700,38.936141,26.000023,42360.000000
61,-91.833375,39.049044,26.000023,42420.000000
61,-91.900144,39.161955,26.000023,42480.000000
61,-91.967008,39.274872,26.000023,42540.000000
61,-92.033967,39.387796,26.000023,42600.000000
61,-92.101019,39.500727,26.000023,42660.000000
61,-92.168165,39.613666,26.000023,42720.000000
61,-92.235405,39.726614,26.000023,42780.000000
61,-92.302736,39.839570,26.000023,42840.000000
61,-92.370159,39.952535,26.000023,42900.000000
61,-92.437671,40.065511,26.000023,42960.000000
61,-92.505271,40.178497,26.000023,43020.000000
61,-92.572956,40.291494,26.000023,43080.000000
61,-92.638537,40.400862,25.313639,43140.000000
62,-92.586357,36.853974,34.000004,36780.000000
62,-92.708653,36.936497,34.000010,36840.000000
62,-92.830884,37.019207,34.000008,36900.000000
62,-92.953695,37.101497,34.000010,36960.000000
62,-93.076794,37.183646,34.000010,37020.000000
62,-93.199919,37.265897,34.000010,37080.000000
62,-93.322934,37.348379,34.000010,37140.000000
62,-93.464239,37.408728,34.000176,37200.000000
62,-93.610690,37.462467,34.000010,37260.000000
62,-93.757244,37.516212,34.000010,37320.000000
62,-93.903900,37.569965,34.000010,37380.000000
62,-94.050658,37.623726,34.000010,37440.000000
62,-94.197518,37.677494,34.000010,37500.000000
62,-94.344480,37.731271,34.000010,37560.000000
62,-94.491544,37.785057,34.000010,37620.000000
62,-94.638711,37.838852,34.000010,37680.000000
62,-94.785981,37.892657,34.000010,37740.000000
62,-94.933352,37.946471,34.000010,37800.000000
62,-95.080827,38.000296,34.000010,37860.000000
62,-95.228403,38.054133,34.000010,37920.000000
62,-95.376083,38.107981,34.000010,37980.000000
62,-95.523864,38.161841,34.000010,38040.000000
62,-95.671747,38.215715,34.000010,38100.000000
62,-95.819732,38.269603,34.000010,38160.000000
62,-95.967819,38.323507,34.000010,38220.000000
62,-96.116006,38.377428,34.000010,38280.000000
62,-96.264294,38.431366,34.000010,38340.000000
62,-96.412681,38.485326,34.000010,38400.000000
62,-96.561167,38.539308,34.000010,38460.000000
62,-96.709749,38.593316,34.000010,38520.000000
62,-96.858426,38.647354,34.000010,38580.000000
62,-97.007194,38.701427,34.000010,38640.000000
62,-97.156049,38.755546,34.000010,38700.000000
62,-97.304981,38.809723,34.000010,38760.000000
62,-97.453975,38.863989,34.000010,38820.000000
62,-97.602965,38.918449,34.000010,38880.000000
62,-97.745847,38.981998,34.000040,38940.000000
62,-97.887197,39.047886,34.000010,39000.000000
62,-98.028671,39.113785,34.000010,39060.000000
62,-98.170271,39.179693,34.000010,39120.000000
62,-98.311997,39.245612,34.000010,39180.000000
62,-98.453848,39.311543,34.000010,39240.000000
62,-98.595825,39.377485,34.000010,39300.000000
62,-98.737927,39.443440,34.000010,39360.000000
63,-90.203129,37.355387,33.930370,35700.000000
63,-90.215946,37.487006,33.999760,35760.000000
63,-90.228780,37.618990,34.000016,35820.000000
63,-90.271126,37.743358,33.998797,35880.000000
63,-90.425680,37.753532,34.000016,35940.000000
63,-90.467439,37.635947,34.000020,36000.000000
63,-90.328922,37.581534,34.000020,36060.000000
63,-90.196546,37.660375,34.000535,36120.000000
63,-90.073489,37.750505,34.000016,36180.000000
63,-89.950319,37.840667,34.000016,36240.000000
63,-89.827034,37.930862,34.000016,36300.000000
63,-89.703642,38.021095,34.000016,36360.000000
63,-89.580151,38.111376,34.000016,36420.000000
63,-89.456577,38.201717,34.000016,36480.000000
63,-89.332951,38.292145,34.000016,36540.000000
63,-89.209356,38.382729,34.000016,36600.000000
63,-89.076636,38.464470,34.000926,36660.000000
63,-88.933754,38.536064,34.000016,36720.000000
63,-88.790724,38.607654,34.000016,36780.000000
63,-88.647561,38.679258,34.000016,36840.000000
63,-88.504265,38.750875,34.000016,36900.000000
63,-88.360835,38.822507,34.000016,36960.000000
63,-88.217273,38.894155,34.000016,37020.000000
64,-95.473518,37.217563,24.050592,43920.000000
64,-95.629221,37.213746,25.456023,43980.000000
64,-95.784337,37.209072,25.864545,44040.000000
64,-95.938700,37.204417,25.348385,44100.000000
65,-92.835611,40.617884,39.000010,31969.456956
65,-92.652050,40.630634,39.000010,32040.000000
65,-92.495873,40.641483,39.000010,32100.000000
65,-92.339670,40.652334,39.000010,32160.000000
65,-92.183442,40.663189,39.000010,32220.000000
65,-92.027190,40.674046,39.000010,32280.000000
65,-91.870912,40.684907,39.000010,32340.000000
65,-91.714609,40.695772,39.000010,32400.000000
65,-91.558280,40.706640,39.000010,32460.000000
66,-88.192762,39.451449,24.925328,34200.000000
66,-88.341707,39.413318,26.313295,34260.000000
66,-88.493585,39.374404,27.561309,34320.000000
66,-88.648144,39.334769,28.681018,34380.000000
66,-88.804987,39.294511,29.814436,34440.000000
66,-88.961492,39.254303,31.101838,34500.000000
66,-89.117143,39.214274,31.777328,34560.000000
66,-89.272490,39.174284,31.945090,34620.000000
66,-89.428940,39.133965,32.000430,34680.000000
66,-89.586723,39.093255,32.000016,34740.000000
66,-89.744395,39.052522,32.000016,34800.000000
66,-89.901962,39.011757,32.000016,34860.000000
66,-90.059419,38.970952,32.000016,34920.000000
66,-90.216762,38.930091,32.000016,34980.000000
66,-90.373973,38.889136,32.000016,35040.000000
66,-90.532451,38.852183,32.003210,35100.000000
66,-90.695782,38.830541,32.000020,35160.000000
66,-90.859086,38.809013,32.000016,35220.000000
66,-91.022338,38.787470,32.000016,35280.000000
66,-91.185536,38.765907,32.000016,35340.000000
66,-91.348678,38.744319,32.000016,35400.000000
66,-91.511763,38.722695,32.000016,35460.000000
66,-91.674784,38.701004,32.000016,35520.000000
66,-91.837569,38.678498,32.000018,35580.000000
66,-92.000108,38.655150,32.000016,35640.000000
66,-92.162552,38.631631,32.000016,35700.000000
66,-92.324905,38.607956,32.000016,35760.000000
